title,slug,category,brand,price_kes,compare_at_price,short_specs,short_description,description_html,meta_title,meta_description,focus_keyword,search_keywords,condition,warranty,stock_status
"HP ZBook 15 G8 Workstation Laptop - Intel Core i7, 16GB RAM, 512GB Storage",hp-zbook-15-g8-workstation-laptop-i7-16gb-512gb,Workstation Laptop,HP,66500,74500,Intel Core i7; 16GB RAM; 512GB Storage; 11th Gen; 4GB Graphics,"Refurbished HP ZBook 15 G8 workstation laptop with Intel Core i7, 16GB RAM, 512GB Storage, 11th Gen, and 4GB Graphics. Available from SES ICT HUB in Nairobi, Kenya.","<p>HP ZBook 15 G8 is a refurbished workstation laptop available from SES ICT HUB in Nairobi, Kenya. This unit is listed with Intel Core i7, 16GB RAM, 512GB Storage, and 11th Gen at KES 66,500.</p>
<ul>
<li>Processor: Intel Core i7</li>
<li>Memory: 16GB RAM</li>
<li>Storage: 512GB Storage</li>
<li>Platform note: 11th Gen</li>
<li>Graphics note: 4GB Graphics</li>
</ul>
<h3>Ideal Use</h3>
<p>Ideal for office workloads, coding, advanced spreadsheets, design-related tasks, and other professional workflows that benefit from a mobile workstation layout.</p>
<h3>Condition &amp; Warranty</h3>
<p>Condition: Refurbished. Warranty: 3-month limited hardware warranty from SES ICT HUB unless stated otherwise. Please confirm the exact unit details, included accessories, and cosmetic state before purchase.</p>",HP ZBook 15 G8 16GB 512GB Price in Kenya | SES ICT HUB,"Buy HP ZBook 15 G8 with Intel Core i7, 16GB RAM, 512GB Storage, and 11th Gen at KES 66,500 from SES ICT HUB in Nairobi, Kenya. Refurbished. 3-month limited",HP ZBook 15 G8 price in Kenya,"HP ZBook 15 G8 price in Kenya, HP ZBook 15 G8, HP ZBook 15 G8 Nairobi, HP ZBook 15 G8 16GB 512GB, HP Workstation Laptop Kenya, refurbished HP Workstation Laptop Kenya, HP ZBook 15 G8 Nairobi, Kenya",Refurbished,3-month limited hardware warranty from SES ICT HUB unless stated otherwise.,in_stock
"HP ZBook 14 G8 Workstation Laptop - Intel Core i7, 16GB RAM, 512GB Storage",hp-zbook-14-g8-workstation-laptop-i7-16gb-512gb,Workstation Laptop,HP,63500,71200,Intel Core i7; 16GB RAM; 512GB Storage; 11th Gen; 4GB Graphics,"Refurbished HP ZBook 14 G8 workstation laptop with Intel Core i7, 16GB RAM, 512GB Storage, 11th Gen, and 4GB Graphics. Available from SES ICT HUB in Nairobi, Kenya.","<p>HP ZBook 14 G8 is a refurbished workstation laptop available from SES ICT HUB in Nairobi, Kenya. This unit is listed with Intel Core i7, 16GB RAM, 512GB Storage, and 11th Gen at KES 63,500.</p>
<ul>
<li>Processor: Intel Core i7</li>
<li>Memory: 16GB RAM</li>
<li>Storage: 512GB Storage</li>
<li>Platform note: 11th Gen</li>
<li>Graphics note: 4GB Graphics</li>
</ul>
<h3>Ideal Use</h3>
<p>Ideal for office workloads, coding, advanced spreadsheets, design-related tasks, and other professional workflows that benefit from a mobile workstation layout.</p>
<h3>Condition &amp; Warranty</h3>
<p>Condition: Refurbished. Warranty: 3-month limited hardware warranty from SES ICT HUB unless stated otherwise. Please confirm the exact unit details, included accessories, and cosmetic state before purchase.</p>",HP ZBook 14 G8 16GB 512GB Price in Kenya | SES ICT HUB,"Buy HP ZBook 14 G8 with Intel Core i7, 16GB RAM, 512GB Storage, and 11th Gen at KES 63,500 from SES ICT HUB in Nairobi, Kenya. Refurbished. 3-month limited",HP ZBook 14 G8 price in Kenya,"HP ZBook 14 G8 price in Kenya, HP ZBook 14 G8, HP ZBook 14 G8 Nairobi, HP ZBook 14 G8 16GB 512GB, HP Workstation Laptop Kenya, refurbished HP Workstation Laptop Kenya, HP ZBook 14 G8 Nairobi, Kenya",Refurbished,3-month limited hardware warranty from SES ICT HUB unless stated otherwise.,in_stock
"HP ZBook 15 G7 Workstation Laptop - Intel Core i7, 16GB RAM, 512GB Storage",hp-zbook-15-g7-workstation-laptop-i7-16gb-512gb,Workstation Laptop,HP,64500,72300,Intel Core i7; 16GB RAM; 512GB Storage; 10th Gen; 4GB Graphics,"Refurbished HP ZBook 15 G7 workstation laptop with Intel Core i7, 16GB RAM, 512GB Storage, 10th Gen, and 4GB Graphics. Available from SES ICT HUB in Nairobi, Kenya.","<p>HP ZBook 15 G7 is a refurbished workstation laptop available from SES ICT HUB in Nairobi, Kenya. This unit is listed with Intel Core i7, 16GB RAM, 512GB Storage, and 10th Gen at KES 64,500.</p>
<ul>
<li>Processor: Intel Core i7</li>
<li>Memory: 16GB RAM</li>
<li>Storage: 512GB Storage</li>
<li>Platform note: 10th Gen</li>
<li>Graphics note: 4GB Graphics</li>
</ul>
<h3>Ideal Use</h3>
<p>Ideal for office workloads, coding, advanced spreadsheets, design-related tasks, and other professional workflows that benefit from a mobile workstation layout.</p>
<h3>Condition &amp; Warranty</h3>
<p>Condition: Refurbished. Warranty: 3-month limited hardware warranty from SES ICT HUB unless stated otherwise. Please confirm the exact unit details, included accessories, and cosmetic state before purchase.</p>",HP ZBook 15 G7 16GB 512GB Price in Kenya | SES ICT HUB,"Buy HP ZBook 15 G7 with Intel Core i7, 16GB RAM, 512GB Storage, and 10th Gen at KES 64,500 from SES ICT HUB in Nairobi, Kenya. Refurbished. 3-month limited",HP ZBook 15 G7 price in Kenya,"HP ZBook 15 G7 price in Kenya, HP ZBook 15 G7, HP ZBook 15 G7 Nairobi, HP ZBook 15 G7 16GB 512GB, HP Workstation Laptop Kenya, refurbished HP Workstation Laptop Kenya, HP ZBook 15 G7 Nairobi, Kenya",Refurbished,3-month limited hardware warranty from SES ICT HUB unless stated otherwise.,in_stock
"HP ZBook 14 G7 Workstation Laptop - Intel Core i7, 32GB RAM, 512GB Storage",hp-zbook-14-g7-workstation-laptop-i7-32gb-512gb,Workstation Laptop,HP,65500,73400,Intel Core i7; 32GB RAM; 512GB Storage; 10th Gen; 4GB Graphics; Touch,"Refurbished HP ZBook 14 G7 workstation laptop with Intel Core i7, 32GB RAM, 512GB Storage, 10th Gen, 4GB Graphics, and Touch. Available from SES ICT HUB in Nairobi, Kenya.","<p>HP ZBook 14 G7 is a refurbished workstation laptop available from SES ICT HUB in Nairobi, Kenya. This unit is listed with Intel Core i7, 32GB RAM, 512GB Storage, and 10th Gen at KES 65,500.</p>
<ul>
<li>Processor: Intel Core i7</li>
<li>Memory: 32GB RAM</li>
<li>Storage: 512GB Storage</li>
<li>Platform note: 10th Gen</li>
<li>Graphics note: 4GB Graphics</li>
<li>Input note: Touch</li>
</ul>
<h3>Ideal Use</h3>
<p>Ideal for office workloads, coding, advanced spreadsheets, design-related tasks, and other professional workflows that benefit from a mobile workstation layout.</p>
<h3>Condition &amp; Warranty</h3>
<p>Condition: Refurbished. Warranty: 3-month limited hardware warranty from SES ICT HUB unless stated otherwise. Please confirm the exact unit details, included accessories, and cosmetic state before purchase.</p>",HP ZBook 14 G7 32GB 512GB Price in Kenya | SES ICT HUB,"Buy HP ZBook 14 G7 with Intel Core i7, 32GB RAM, 512GB Storage, and 10th Gen at KES 65,500 from SES ICT HUB in Nairobi, Kenya. Refurbished. 3-month limited",HP ZBook 14 G7 price in Kenya,"HP ZBook 14 G7 price in Kenya, HP ZBook 14 G7, HP ZBook 14 G7 Nairobi, HP ZBook 14 G7 32GB 512GB, HP Workstation Laptop Kenya, refurbished HP Workstation Laptop Kenya, HP ZBook 14 G7 Nairobi, Kenya",Refurbished,3-month limited hardware warranty from SES ICT HUB unless stated otherwise.,in_stock
"HP ZBook 14 G7 Workstation Laptop - Intel Core i7, 32GB RAM, 512GB Storage",hp-zbook-14-g7-workstation-laptop-i7-32gb-512gb-2,Workstation Laptop,HP,63500,71200,Intel Core i7; 32GB RAM; 512GB Storage; 10th Gen; 4GB Graphics; Non-Touch,"Refurbished HP ZBook 14 G7 workstation laptop with Intel Core i7, 32GB RAM, 512GB Storage, 10th Gen, 4GB Graphics, and Non-Touch. Available from SES ICT HUB in Nairobi, Kenya.","<p>HP ZBook 14 G7 is a refurbished workstation laptop available from SES ICT HUB in Nairobi, Kenya. This unit is listed with Intel Core i7, 32GB RAM, 512GB Storage, and 10th Gen at KES 63,500.</p>
<ul>
<li>Processor: Intel Core i7</li>
<li>Memory: 32GB RAM</li>
<li>Storage: 512GB Storage</li>
<li>Platform note: 10th Gen</li>
<li>Graphics note: 4GB Graphics</li>
<li>Input note: Non-Touch</li>
</ul>
<h3>Ideal Use</h3>
<p>Ideal for office workloads, coding, advanced spreadsheets, design-related tasks, and other professional workflows that benefit from a mobile workstation layout.</p>
<h3>Condition &amp; Warranty</h3>
<p>Condition: Refurbished. Warranty: 3-month limited hardware warranty from SES ICT HUB unless stated otherwise. Please confirm the exact unit details, included accessories, and cosmetic state before purchase.</p>",HP ZBook 14 G7 32GB 512GB Price in Kenya | SES ICT HUB,"Buy HP ZBook 14 G7 with Intel Core i7, 32GB RAM, 512GB Storage, and 10th Gen at KES 63,500 from SES ICT HUB in Nairobi, Kenya. Refurbished. 3-month limited",HP ZBook 14 G7 price in Kenya,"HP ZBook 14 G7 price in Kenya, HP ZBook 14 G7, HP ZBook 14 G7 Nairobi, HP ZBook 14 G7 32GB 512GB, HP Workstation Laptop Kenya, refurbished HP Workstation Laptop Kenya, HP ZBook 14 G7 Nairobi, Kenya",Refurbished,3-month limited hardware warranty from SES ICT HUB unless stated otherwise.,in_stock
"HP ZBook 14 G7 Workstation Laptop - Intel Core i5, 16GB RAM, 512GB Storage",hp-zbook-14-g7-workstation-laptop-i5-16gb-512gb,Workstation Laptop,HP,55500,62200,Intel Core i5; 16GB RAM; 512GB Storage; 10th Gen; 4GB Graphics; Non-Touch,"Refurbished HP ZBook 14 G7 workstation laptop with Intel Core i5, 16GB RAM, 512GB Storage, 10th Gen, 4GB Graphics, and Non-Touch. Available from SES ICT HUB in Nairobi, Kenya.","<p>HP ZBook 14 G7 is a refurbished workstation laptop available from SES ICT HUB in Nairobi, Kenya. This unit is listed with Intel Core i5, 16GB RAM, 512GB Storage, and 10th Gen at KES 55,500.</p>
<ul>
<li>Processor: Intel Core i5</li>
<li>Memory: 16GB RAM</li>
<li>Storage: 512GB Storage</li>
<li>Platform note: 10th Gen</li>
<li>Graphics note: 4GB Graphics</li>
<li>Input note: Non-Touch</li>
</ul>
<h3>Ideal Use</h3>
<p>Ideal for office workloads, coding, advanced spreadsheets, design-related tasks, and other professional workflows that benefit from a mobile workstation layout.</p>
<h3>Condition &amp; Warranty</h3>
<p>Condition: Refurbished. Warranty: 3-month limited hardware warranty from SES ICT HUB unless stated otherwise. Please confirm the exact unit details, included accessories, and cosmetic state before purchase.</p>",HP ZBook 14 G7 16GB 512GB Price in Kenya | SES ICT HUB,"Buy HP ZBook 14 G7 with Intel Core i5, 16GB RAM, 512GB Storage, and 10th Gen at KES 55,500 from SES ICT HUB in Nairobi, Kenya. Refurbished. 3-month limited",HP ZBook 14 G7 price in Kenya,"HP ZBook 14 G7 price in Kenya, HP ZBook 14 G7, HP ZBook 14 G7 Nairobi, HP ZBook 14 G7 16GB 512GB, HP Workstation Laptop Kenya, refurbished HP Workstation Laptop Kenya, HP ZBook 14 G7 Nairobi, Kenya",Refurbished,3-month limited hardware warranty from SES ICT HUB unless stated otherwise.,in_stock
"HP ZBook 14 G6 Workstation Laptop - Intel Core i7, 16GB RAM, 512GB Storage",hp-zbook-14-g6-workstation-laptop-i7-16gb-512gb,Workstation Laptop,HP,47500,53300,Intel Core i7; 16GB RAM; 512GB Storage; 8th Gen; 4GB Graphics; Touch,"Refurbished HP ZBook 14 G6 workstation laptop with Intel Core i7, 16GB RAM, 512GB Storage, 8th Gen, 4GB Graphics, and Touch. Available from SES ICT HUB in Nairobi, Kenya.","<p>HP ZBook 14 G6 is a refurbished workstation laptop available from SES ICT HUB in Nairobi, Kenya. This unit is listed with Intel Core i7, 16GB RAM, 512GB Storage, and 8th Gen at KES 47,500.</p>
<ul>
<li>Processor: Intel Core i7</li>
<li>Memory: 16GB RAM</li>
<li>Storage: 512GB Storage</li>
<li>Platform note: 8th Gen</li>
<li>Graphics note: 4GB Graphics</li>
<li>Input note: Touch</li>
</ul>
<h3>Ideal Use</h3>
<p>Ideal for office workloads, coding, advanced spreadsheets, design-related tasks, and other professional workflows that benefit from a mobile workstation layout.</p>
<h3>Condition &amp; Warranty</h3>
<p>Condition: Refurbished. Warranty: 3-month limited hardware warranty from SES ICT HUB unless stated otherwise. Please confirm the exact unit details, included accessories, and cosmetic state before purchase.</p>",HP ZBook 14 G6 16GB 512GB Price in Kenya | SES ICT HUB,"Buy HP ZBook 14 G6 with Intel Core i7, 16GB RAM, 512GB Storage, and 8th Gen at KES 47,500 from SES ICT HUB in Nairobi, Kenya. Refurbished. 3-month limited",HP ZBook 14 G6 price in Kenya,"HP ZBook 14 G6 price in Kenya, HP ZBook 14 G6, HP ZBook 14 G6 Nairobi, HP ZBook 14 G6 16GB 512GB, HP Workstation Laptop Kenya, refurbished HP Workstation Laptop Kenya, HP ZBook 14 G6 Nairobi, Kenya",Refurbished,3-month limited hardware warranty from SES ICT HUB unless stated otherwise.,in_stock
"HP ZBook 14 G6 Workstation Laptop - Intel Core i7, 16GB RAM, 512GB Storage",hp-zbook-14-g6-workstation-laptop-i7-16gb-512gb-2,Workstation Laptop,HP,45500,51000,Intel Core i7; 16GB RAM; 512GB Storage; 8th Gen; 4GB Graphics; Non-Touch,"Refurbished HP ZBook 14 G6 workstation laptop with Intel Core i7, 16GB RAM, 512GB Storage, 8th Gen, 4GB Graphics, and Non-Touch. Available from SES ICT HUB in Nairobi, Kenya.","<p>HP ZBook 14 G6 is a refurbished workstation laptop available from SES ICT HUB in Nairobi, Kenya. This unit is listed with Intel Core i7, 16GB RAM, 512GB Storage, and 8th Gen at KES 45,500.</p>
<ul>
<li>Processor: Intel Core i7</li>
<li>Memory: 16GB RAM</li>
<li>Storage: 512GB Storage</li>
<li>Platform note: 8th Gen</li>
<li>Graphics note: 4GB Graphics</li>
<li>Input note: Non-Touch</li>
</ul>
<h3>Ideal Use</h3>
<p>Ideal for office workloads, coding, advanced spreadsheets, design-related tasks, and other professional workflows that benefit from a mobile workstation layout.</p>
<h3>Condition &amp; Warranty</h3>
<p>Condition: Refurbished. Warranty: 3-month limited hardware warranty from SES ICT HUB unless stated otherwise. Please confirm the exact unit details, included accessories, and cosmetic state before purchase.</p>",HP ZBook 14 G6 16GB 512GB Price in Kenya | SES ICT HUB,"Buy HP ZBook 14 G6 with Intel Core i7, 16GB RAM, 512GB Storage, and 8th Gen at KES 45,500 from SES ICT HUB in Nairobi, Kenya. Refurbished. 3-month limited",HP ZBook 14 G6 price in Kenya,"HP ZBook 14 G6 price in Kenya, HP ZBook 14 G6, HP ZBook 14 G6 Nairobi, HP ZBook 14 G6 16GB 512GB, HP Workstation Laptop Kenya, refurbished HP Workstation Laptop Kenya, HP ZBook 14 G6 Nairobi, Kenya",Refurbished,3-month limited hardware warranty from SES ICT HUB unless stated otherwise.,in_stock
"Microsoft Surface Laptop - Intel Core i7, 16GB RAM, 512GB Storage",microsoft-surface-laptop-i7-16gb-512gb,Laptop,Microsoft,52000,58300,Intel Core i7; 16GB RAM; 512GB Storage; 8th Gen,"Refurbished Microsoft Surface laptop with Intel Core i7, 16GB RAM, 512GB Storage, and 8th Gen. Available from SES ICT HUB in Nairobi, Kenya.","<p>Microsoft Surface is a refurbished laptop available from SES ICT HUB in Nairobi, Kenya. This unit is listed with Intel Core i7, 16GB RAM, 512GB Storage, and 8th Gen at KES 52,000.</p>
<ul>
<li>Processor: Intel Core i7</li>
<li>Memory: 16GB RAM</li>
<li>Storage: 512GB Storage</li>
<li>Platform note: 8th Gen</li>
</ul>
<h3>Ideal Use</h3>
<p>Ideal for business use, multitasking, research, remote work, coding, and daily productivity tasks.</p>
<h3>Condition &amp; Warranty</h3>
<p>Condition: Refurbished. Warranty: 3-month limited hardware warranty from SES ICT HUB unless stated otherwise. Please confirm the exact unit details, included accessories, and cosmetic state before purchase.</p>",Microsoft Surface 16GB 512GB Price in Kenya | SES ICT HUB,"Buy Microsoft Surface with Intel Core i7, 16GB RAM, 512GB Storage, and 8th Gen at KES 52,000 from SES ICT HUB in Nairobi, Kenya. Refurbished. 3-month limited",Microsoft Surface price in Kenya,"Microsoft Surface price in Kenya, Microsoft Surface, Microsoft Surface Nairobi, Microsoft Surface 16GB 512GB, Microsoft Laptop Kenya, refurbished Microsoft Laptop Kenya, Microsoft Surface Nairobi, Kenya",Refurbished,3-month limited hardware warranty from SES ICT HUB unless stated otherwise.,in_stock
"HP 850 G7 Laptop - Intel Core i7, 16GB RAM, 512GB Storage",hp-850-g7-laptop-i7-16gb-512gb,Laptop,HP,51500,57700,Intel Core i7; 16GB RAM; 512GB Storage; 10th Gen; Touch,"Refurbished HP 850 G7 laptop with Intel Core i7, 16GB RAM, 512GB Storage, 10th Gen, and Touch. Available from SES ICT HUB in Nairobi, Kenya.","<p>HP 850 G7 is a refurbished laptop available from SES ICT HUB in Nairobi, Kenya. This unit is listed with Intel Core i7, 16GB RAM, 512GB Storage, and 10th Gen at KES 51,500.</p>
<ul>
<li>Processor: Intel Core i7</li>
<li>Memory: 16GB RAM</li>
<li>Storage: 512GB Storage</li>
<li>Platform note: 10th Gen</li>
<li>Input note: Touch</li>
</ul>
<h3>Ideal Use</h3>
<p>Ideal for business use, multitasking, research, remote work, coding, and daily productivity tasks.</p>
<h3>Condition &amp; Warranty</h3>
<p>Condition: Refurbished. Warranty: 3-month limited hardware warranty from SES ICT HUB unless stated otherwise. Please confirm the exact unit details, included accessories, and cosmetic state before purchase.</p>",HP 850 G7 16GB 512GB Price in Kenya | SES ICT HUB,"Buy HP 850 G7 with Intel Core i7, 16GB RAM, 512GB Storage, and 10th Gen at KES 51,500 from SES ICT HUB in Nairobi, Kenya. Refurbished. 3-month limited hardware",HP 850 G7 price in Kenya,"HP 850 G7 price in Kenya, HP 850 G7, HP 850 G7 Nairobi, HP 850 G7 16GB 512GB, HP Laptop Kenya, refurbished HP Laptop Kenya, HP 850 G7 Nairobi, Kenya",Refurbished,3-month limited hardware warranty from SES ICT HUB unless stated otherwise.,in_stock
